,cluster_main_first_word,cluster_prelast_second_word,cluster_last_third_word,cosine_simil_first_sec,cosine_simil_sec_third,cosine_simil_first_third,min_cosine_sim,max_cosine_sim,joke_tokenized,id_joke
376,a man,i,my,tensor(0.3739),tensor(0.4308),tensor(0.3072),tensor(0.3072),tensor(0.4308),"[CLS] a man finds a genie who says that it will grant him three wishes but that every politician in australia would get double . the man says : "" ok , i wish for 1 million dollars . "" "" granted "" , says the genie , "" but remember every politician in australia will get double "" the man says : "" ok , now i wish for a ferrari "" . "" granted "" , says the genie , "" but remember every politician in australia will get double . your final wish ? "" the man says : "" i wish to have one of my kidney s removed . "" [SEP]",212
377,australia,australia,australia,tensor(0.9237),tensor(0.9563),tensor(0.9030),tensor(0.9030),tensor(0.9563),"[CLS] a man finds a genie who says that it will grant him three wishes but that every politician in australia would get double . the man says : "" ok , i wish for 1 million dollars . "" "" granted "" , says the genie , "" but remember every politician in australia will get double "" the man says : "" ok , now i wish for a ferrari "" . "" granted "" , says the genie , "" but remember every politician in australia will get double . your final wish ? "" the man says : "" i wish to have one of my kidney s removed . "" [SEP]",212
378,the cash ier,the man,you,tensor(0.4114),tensor(0.2329),tensor(0.3737),tensor(0.2329),tensor(0.4114),"[CLS] a duck walks into a drugs tore , and asks the cash ier if he has any beer . the man says "" no , this is a drugs tore , we do not sell beer here "" the duck leaves , and returns home . the next day , he comes back to the store and asks the cash ier again . the man then replies , "" i told you yesterday ! we don t ' sell beer here ! if you ask me one more time , i am going to nail your feet to the fl or r ! "" the duck leaves again . one final time the duck enters the store the next day , and this time says : "" do you have any nails ? "" the man replies , "" no "" the duck then says : "" do you have any beer ? "" [SEP]",216
379,a drugs tore,we,the store,tensor(0.1980),tensor(0.1123),tensor(0.3882),tensor(0.1123),tensor(0.3882),"[CLS] a duck walks into a drugs tore , and asks the cash ier if he has any beer . the man says "" no , this is a drugs tore , we do not sell beer here "" the duck leaves , and returns home . the next day , he comes back to the store and asks the cash ier again . the man then replies , "" i told you yesterday ! we don t ' sell beer here ! if you ask me one more time , i am going to nail your feet to the fl or r ! "" the duck leaves again . one final time the duck enters the store the next day , and this time says : "" do you have any nails ? "" the man replies , "" no "" the duck then says : "" do you have any beer ? "" [SEP]",216
380,a duck,the duck,the duck,tensor(0.7023),tensor(0.5128),tensor(0.4786),tensor(0.4786),tensor(0.7023),"[CLS] a duck walks into a drugs tore , and asks the cash ier if he has any beer . the man says "" no , this is a drugs tore , we do not sell beer here "" the duck leaves , and returns home . the next day , he comes back to the store and asks the cash ier again . the man then replies , "" i told you yesterday ! we don t ' sell beer here ! if you ask me one more time , i am going to nail your feet to the fl or r ! "" the duck leaves again . one final time the duck enters the store the next day , and this time says : "" do you have any nails ? "" the man replies , "" no "" the duck then says : "" do you have any beer ? "" [SEP]",216
381,a bear,its,-,tensor(0.5328),0,0,0,0,[CLS] how do you stop a bear from charging ? you take away its credit card . [SEP],219
382,the man,he,-,tensor(0.6109),0,0,0,0,[CLS] why did the man drown in a bowl of cake mix ? he got pulled under by a particularly strong current ! ! [SEP],221
383,pol ic ve,they,-,tensor(0.5324),0,0,0,0,[CLS] newspaper reports say a toilet has been stolen . pol ic ve say they have nothing to go on . [SEP],223
384,edward woodward,his,he,tensor(0.4387),tensor(0.3709),tensor(0.4635),tensor(0.3709),tensor(0.4635),[CLS] why has edward woodward got so many would in his name ? because otherwise he would be called e war woo war [SEP],224
385,the scare crow that won a nobel prize,he,his,tensor(0.4740),tensor(0.1761),tensor(0.1877),tensor(0.1761),tensor(0.4740),"[CLS] did you hear about the scare crow that won a nobel prize ? he was out , standing in his field . [SEP]",225
386,one,he,i,tensor(0.2896),tensor(0.3093),tensor(0.1488),tensor(0.1488),tensor(0.3093),"[CLS] two atoms are walking down the road . one says to the other , "" oh no ! i just dropped an electron ! "" "" are you sure ? "" asks his friend . "" yes "" he replies "" i am positive ! "" [SEP]",228
387,the other,his friend,-,tensor(0.5154),0,0,0,0,"[CLS] two atoms are walking down the road . one says to the other , "" oh no ! i just dropped an electron ! "" "" are you sure ? "" asks his friend . "" yes "" he replies "" i am positive ! "" [SEP]",228
388,bu h .,bu h,-,tensor(0.5799),0,0,0,0,[CLS] knock knock . - who there ? - bu h . - bu h who ? - do not be sad . [SEP],230
389,two pieces of tar mac,we,they,tensor(0.3391),tensor(0.5806),tensor(0.2197),tensor(0.2197),tensor(0.5806),"[CLS] two pieces of tar mac go into a pub and bo ast to the bar man about how hard they are , "" we are motorway us . "" then another piece of tar mac enters and the first two hide under a table . "" what is wrong ? "" says the bar man , "" i thought you were really hard ? "" "" we are , "" they say , "" but he a cycle path . "" [SEP]",231
390,the bar man,the bar man,i,tensor(0.5943),tensor(0.4044),tensor(0.3295),tensor(0.3295),tensor(0.5943),"[CLS] two pieces of tar mac go into a pub and bo ast to the bar man about how hard they are , "" we are motorway us . "" then another piece of tar mac enters and the first two hide under a table . "" what is wrong ? "" says the bar man , "" i thought you were really hard ? "" "" we are , "" they say , "" but he a cycle path . "" [SEP]",231
391,little bears,them,-,tensor(0.0772),0,0,0,0,"[CLS] a long time ago , there were little bears . . . . . now there lots of them . [SEP]",232
392,a duck,it,its,tensor(0.4482),tensor(0.3106),tensor(0.3176),tensor(0.3106),tensor(0.4482),[CLS] how do you turn a duck into a soul singer ? stick it in the oven and wait till its bill with ers . [SEP],236
393,the swedish factory worker,he,-,tensor(0.6252),0,0,0,0,[CLS] why did the swedish factory worker get sacked ? ? because he always took stock home ! [SEP],237
394,a teddy bear who went to work on a building site,he,you,tensor(0.6071),tensor(0.4190),tensor(0.4920),tensor(0.4190),tensor(0.6071),"[CLS] there was a teddy bear who went to work on a building site . on his first day he went off for lunch and left his tools behind . when he came back he noticed that his pick was missing . when he told the foreman the foreman said "" didn ' t you know today the day the teddy bears get their picks nick ed "" ! [SEP]",238
395,the foreman,the foreman the foreman,the foreman,tensor(0.8814),tensor(0.8896),tensor(0.5684),tensor(0.5684),tensor(0.8896),"[CLS] there was a teddy bear who went to work on a building site . on his first day he went off for lunch and left his tools behind . when he came back he noticed that his pick was missing . when he told the foreman the foreman said "" didn ' t you know today the day the teddy bears get their picks nick ed "" ! [SEP]",238
396,the teddy bears,their,-,tensor(0.5588),0,0,0,0,"[CLS] there was a teddy bear who went to work on a building site . on his first day he went off for lunch and left his tools behind . when he came back he noticed that his pick was missing . when he told the foreman the foreman said "" didn ' t you know today the day the teddy bears get their picks nick ed "" ! [SEP]",238
397,the doctor,the doctor,i,tensor(0.6149),tensor(0.2300),tensor(0.1754),tensor(0.1754),tensor(0.6149),"[CLS] a man goes to the doctor and says "" doctor , there a piece of let tu ce sticking out of my bottom ' . the doctor asks him to drop his trousers and examines him . the man asks ' is it serious , doctor ? ' and the doctor replies ' i am sorry to tell you but this is just the tip of the ice berg "" . [SEP]",239
398,a man,the man,you,tensor(0.5626),tensor(0.2786),tensor(0.3311),tensor(0.2786),tensor(0.5626),"[CLS] a man goes to the doctor and says "" doctor , there a piece of let tu ce sticking out of my bottom ' . the doctor asks him to drop his trousers and examines him . the man asks ' is it serious , doctor ? ' and the doctor replies ' i am sorry to tell you but this is just the tip of the ice berg "" . [SEP]",239
399,a piece of let tu ce,this,-,tensor(0.3621),0,0,0,0,"[CLS] a man goes to the doctor and says "" doctor , there a piece of let tu ce sticking out of my bottom ' . the doctor asks him to drop his trousers and examines him . the man asks ' is it serious , doctor ? ' and the doctor replies ' i am sorry to tell you but this is just the tip of the ice berg "" . [SEP]",239
400,the minister,the minister,you,tensor(0.4925),tensor(0.3384),tensor(0.3387),tensor(0.3384),tensor(0.4925),"[CLS] a young girl is walking along the river and comes across a religious gathering where the minister is ba pt izing members of his flock . the minister asks the girl if she has found jesus . "" no "" , she says . whereupon the minister pushes her underwater , pulls her back up , and repeats : "" have you found jesus ? "" "" no "" , she says , and is dun ked back in the water and again asked , "" have you found jesus ? "" "" no ! , "" she says in ex as peration , "" are you sure this is where he fell in ? "" [SEP]",241
401,a young girl,you,she,tensor(0.2838),tensor(0.2137),tensor(0.3681),tensor(0.2137),tensor(0.3681),"[CLS] a young girl is walking along the river and comes across a religious gathering where the minister is ba pt izing members of his flock . the minister asks the girl if she has found jesus . "" no "" , she says . whereupon the minister pushes her underwater , pulls her back up , and repeats : "" have you found jesus ? "" "" no "" , she says , and is dun ked back in the water and again asked , "" have you found jesus ? "" "" no ! , "" she says in ex as peration , "" are you sure this is where he fell in ? "" [SEP]",241
402,jesus,jesus,he,tensor(0.4079),tensor(0.2734),tensor(0.2254),tensor(0.2254),tensor(0.4079),"[CLS] a young girl is walking along the river and comes across a religious gathering where the minister is ba pt izing members of his flock . the minister asks the girl if she has found jesus . "" no "" , she says . whereupon the minister pushes her underwater , pulls her back up , and repeats : "" have you found jesus ? "" "" no "" , she says , and is dun ked back in the water and again asked , "" have you found jesus ? "" "" no ! , "" she says in ex as peration , "" are you sure this is where he fell in ? "" [SEP]",241
403,the other,you,-,tensor(0.4072),0,0,0,0,"[CLS] two parrot s sitting on a perch . one says to the other : "" can you smell fish ? "" [SEP]",242
404,i,my,my,tensor(0.4713),tensor(0.4183),tensor(0.4290),tensor(0.4183),tensor(0.4713),[CLS] i want to die peacefully in my sleep like my grandfather . not screaming and yelling like his passengers . [SEP],243
405,my grandfather,his,-,tensor(0.6106),0,0,0,0,[CLS] i want to die peacefully in my sleep like my grandfather . not screaming and yelling like his passengers . [SEP],243
406,homer,homer,i,tensor(0.3608),tensor(0.3214),tensor(0.2172),tensor(0.2172),tensor(0.3608),"[CLS] marge : "" homer , you never listen to anything i say ! "" homer : "" thank you . i would like an om let . "" [SEP]",245
407,marge,i,you,tensor(0.4864),tensor(0.2753),tensor(0.3692),tensor(0.2753),tensor(0.4864),"[CLS] marge : "" homer , you never listen to anything i say ! "" homer : "" thank you . i would like an om let . "" [SEP]",245
408,the first cow,i,you,tensor(0.3987),tensor(0.2908),tensor(0.3477),tensor(0.2908),tensor(0.3987),"[CLS] two cows are in a field . the first cow says "" hmm i feel a little bit sick "" the second cow replies "" shut up ! or you will get us both killed ! "" [SEP]",246
409,two cows,us both,-,tensor(0.3874),0,0,0,0,"[CLS] two cows are in a field . the first cow says "" hmm i feel a little bit sick "" the second cow replies "" shut up ! or you will get us both killed ! "" [SEP]",246
410,the gates of he ven,the gates,the gates,tensor(0.5727),tensor(0.3464),tensor(0.3879),tensor(0.3464),tensor(0.5727),"[CLS] two robbers went the gates of he ven an angle said god there is robbers at the gates god said let them in so the angle went let them in he came running in and said "" they are gone , they are gone , "" god : who the robbers no the gates ! ! "" [SEP]",249
411,god,god,god,tensor(0.4187),tensor(0.3954),tensor(0.4653),tensor(0.3954),tensor(0.4653),"[CLS] two robbers went the gates of he ven an angle said god there is robbers at the gates god said let them in so the angle went let them in he came running in and said "" they are gone , they are gone , "" god : who the robbers no the gates ! ! "" [SEP]",249
412,two robbers,they,they,tensor(0.5569),tensor(0.9156),tensor(0.5207),tensor(0.5207),tensor(0.9156),"[CLS] two robbers went the gates of he ven an angle said god there is robbers at the gates god said let them in so the angle went let them in he came running in and said "" they are gone , they are gone , "" god : who the robbers no the gates ! ! "" [SEP]",249
413,an angle,the angle,he,tensor(0.5623),tensor(0.4392),tensor(0.3731),tensor(0.3731),tensor(0.5623),"[CLS] two robbers went the gates of he ven an angle said god there is robbers at the gates god said let them in so the angle went let them in he came running in and said "" they are gone , they are gone , "" god : who the robbers no the gates ! ! "" [SEP]",249
414,ant ea ters,they,-,tensor(0.6038),0,0,0,0,[CLS] why do not ant ea ters get sick ? because they are full of antibodies . [SEP],250
415,he,his,i,tensor(0.6263),tensor(0.1676),tensor(0.1637),tensor(0.1637),tensor(0.6263),"[CLS] a tex an is bragg ing , as usual : "" you know , "" he says : "" i can get in my cadillac at a . m . , drive all day long and still be on my property . "" "" yes , "" replies his listener , "" i had a car like that once . "" [SEP]",251
416,my cadillac,that,-,tensor(-0.0069),0,0,0,0,"[CLS] a tex an is bragg ing , as usual : "" you know , "" he says : "" i can get in my cadillac at a . m . , drive all day long and still be on my property . "" "" yes , "" replies his listener , "" i had a car like that once . "" [SEP]",251
417,the other,i,-,tensor(0.2566),0,0,0,0,"[CLS] two sheep were standing on a hillside in scotland , one looks up and says "" ba aa aa aa aa a . . . "" the other says : "" bloody hell , i was gonna say that ! "" [SEP]",252
418,the bartender,bartender,the bartender,tensor(0.3617),tensor(0.2310),tensor(0.6230),tensor(0.2310),tensor(0.6230),"[CLS] a dog walks into a bar and says to the bartender , "" hey bartender , it my birthday ! how about a free drink ? "" the bartender says : "" sure pal , the toilet down the hall . "" [SEP]",254
419,a dog,my,pal,tensor(0.3582),tensor(0.2829),tensor(0.3824),tensor(0.2829),tensor(0.3824),"[CLS] a dog walks into a bar and says to the bartender , "" hey bartender , it my birthday ! how about a free drink ? "" the bartender says : "" sure pal , the toilet down the hall . "" [SEP]",254
420,sherlock holmes and dr watson,their,our,tensor(0.4563),tensor(0.0632),tensor(0.0790),tensor(0.0632),tensor(0.4563),"[CLS] sherlock holmes and dr watson were going camping . they pitched their tent under the stars and went to sleep . sometime in the middle of the night holmes woke watson up . "" watson , look up at the stars , and tell me what you see . "" watson said , "" i see millions and millions of stars . "" holmes : "" and from that you de du ce ? "" watson : "" well , if there are millions of stars , and in even a few of those have planets , its quite likely there are some planets like earth out there . and if there are a few planets like earth out there , there might also be life . "" holmes : "" watson , you idiot , somebody stole our tent . "" [SEP]",255
421,sherlock holmes,holmes,holmes,tensor(0.3137),tensor(0.5797),tensor(0.2984),tensor(0.2984),tensor(0.5797),"[CLS] sherlock holmes and dr watson were going camping . they pitched their tent under the stars and went to sleep . sometime in the middle of the night holmes woke watson up . "" watson , look up at the stars , and tell me what you see . "" watson said , "" i see millions and millions of stars . "" holmes : "" and from that you de du ce ? "" watson : "" well , if there are millions of stars , and in even a few of those have planets , its quite likely there are some planets like earth out there . and if there are a few planets like earth out there , there might also be life . "" holmes : "" watson , you idiot , somebody stole our tent . "" [SEP]",255
422,dr watson,watson,watson,tensor(0.3523),tensor(0.2017),tensor(0.1752),tensor(0.1752),tensor(0.3523),"[CLS] sherlock holmes and dr watson were going camping . they pitched their tent under the stars and went to sleep . sometime in the middle of the night holmes woke watson up . "" watson , look up at the stars , and tell me what you see . "" watson said , "" i see millions and millions of stars . "" holmes : "" and from that you de du ce ? "" watson : "" well , if there are millions of stars , and in even a few of those have planets , its quite likely there are some planets like earth out there . and if there are a few planets like earth out there , there might also be life . "" holmes : "" watson , you idiot , somebody stole our tent . "" [SEP]",255
423,the stars,the stars,millions and millions of stars,tensor(0.4820),tensor(0.4055),tensor(0.3809),tensor(0.3809),tensor(0.4820),"[CLS] sherlock holmes and dr watson were going camping . they pitched their tent under the stars and went to sleep . sometime in the middle of the night holmes woke watson up . "" watson , look up at the stars , and tell me what you see . "" watson said , "" i see millions and millions of stars . "" holmes : "" and from that you de du ce ? "" watson : "" well , if there are millions of stars , and in even a few of those have planets , its quite likely there are some planets like earth out there . and if there are a few planets like earth out there , there might also be life . "" holmes : "" watson , you idiot , somebody stole our tent . "" [SEP]",255
424,see,that,-,tensor(0.2264),0,0,0,0,"[CLS] sherlock holmes and dr watson were going camping . they pitched their tent under the stars and went to sleep . sometime in the middle of the night holmes woke watson up . "" watson , look up at the stars , and tell me what you see . "" watson said , "" i see millions and millions of stars . "" holmes : "" and from that you de du ce ? "" watson : "" well , if there are millions of stars , and in even a few of those have planets , its quite likely there are some planets like earth out there . and if there are a few planets like earth out there , there might also be life . "" holmes : "" watson , you idiot , somebody stole our tent . "" [SEP]",255
425,millions of stars,those,-,tensor(0.5462),0,0,0,0,"[CLS] sherlock holmes and dr watson were going camping . they pitched their tent under the stars and went to sleep . sometime in the middle of the night holmes woke watson up . "" watson , look up at the stars , and tell me what you see . "" watson said , "" i see millions and millions of stars . "" holmes : "" and from that you de du ce ? "" watson : "" well , if there are millions of stars , and in even a few of those have planets , its quite likely there are some planets like earth out there . and if there are a few planets like earth out there , there might also be life . "" holmes : "" watson , you idiot , somebody stole our tent . "" [SEP]",255
426,earth,earth,-,tensor(0.9255),0,0,0,0,"[CLS] sherlock holmes and dr watson were going camping . they pitched their tent under the stars and went to sleep . sometime in the middle of the night holmes woke watson up . "" watson , look up at the stars , and tell me what you see . "" watson said , "" i see millions and millions of stars . "" holmes : "" and from that you de du ce ? "" watson : "" well , if there are millions of stars , and in even a few of those have planets , its quite likely there are some planets like earth out there . and if there are a few planets like earth out there , there might also be life . "" holmes : "" watson , you idiot , somebody stole our tent . "" [SEP]",255
427,their tent,our tent,-,tensor(0.1782),0,0,0,0,"[CLS] sherlock holmes and dr watson were going camping . they pitched their tent under the stars and went to sleep . sometime in the middle of the night holmes woke watson up . "" watson , look up at the stars , and tell me what you see . "" watson said , "" i see millions and millions of stars . "" holmes : "" and from that you de du ce ? "" watson : "" well , if there are millions of stars , and in even a few of those have planets , its quite likely there are some planets like earth out there . and if there are a few planets like earth out there , there might also be life . "" holmes : "" watson , you idiot , somebody stole our tent . "" [SEP]",255
428,a fish,it,-,tensor(0.5436),0,0,0,0,[CLS] what is the last thing a fish says when it hits a wall ? dam ! [SEP],256
429,a dog with no legs,him,-,tensor(-0.0685),0,0,0,0,[CLS] where do you find a dog with no legs ? wherever you left him . [SEP],257
430,the egg,its,-,tensor(0.5055),0,0,0,0,[CLS] why did the egg cross the road ? to research its gene ology . [SEP],260
431,the monk,his,my,tensor(0.3178),tensor(0.4987),tensor(0.1417),tensor(0.1417),tensor(0.4987),[CLS] what did the monk say when returning to his mon est ary after a trip around the world ? the world is my cl ois ter . [SEP],261
432,the world,the world,-,tensor(0.7364),0,0,0,0,[CLS] what did the monk say when returning to his mon est ary after a trip around the world ? the world is my cl ois ter . [SEP],261
433,a rock,it,-,tensor(0.5092),0,0,0,0,"[CLS] what has more courage , a stump or a rock ? a rock , because it a little boulder . [SEP]",263
434,two jelly babies,them,they,tensor(0.4940),tensor(0.4658),tensor(0.3714),tensor(0.3714),tensor(0.4940),"[CLS] two jelly babies walked into a bar with their friend the hard gum . when they went up to get drinks , some cough sweets went up to them and started has sling them . the jelly babies were a bit scared and went to the hard gum to ask for a bit of help . he replied , "" i am not going anywhere near them , they are men th ol ! "" . [SEP]",265
435,their friend the hard gum,he,i,tensor(0.4238),tensor(0.3033),tensor(0.3449),tensor(0.3033),tensor(0.4238),"[CLS] two jelly babies walked into a bar with their friend the hard gum . when they went up to get drinks , some cough sweets went up to them and started has sling them . the jelly babies were a bit scared and went to the hard gum to ask for a bit of help . he replied , "" i am not going anywhere near them , they are men th ol ! "" . [SEP]",265
436,a turtle,his,i,tensor(0.3849),tensor(0.2705),tensor(0.2082),tensor(0.2082),tensor(0.3849),"[CLS] a turtle was walking down an alley in new york when he was mug ged by a gang of snails . a police detective came to investigate and asked the turtle if he could explain what happened . the turtle looked at the detective with a confused look on his face and replied "" i do not know , it all happened so fast . "" [SEP]",266
437,a police detective,the detective,-,tensor(0.4679),0,0,0,0,"[CLS] a turtle was walking down an alley in new york when he was mug ged by a gang of snails . a police detective came to investigate and asked the turtle if he could explain what happened . the turtle looked at the detective with a confused look on his face and replied "" i do not know , it all happened so fast . "" [SEP]",266
438,a king,his,his,tensor(0.4386),tensor(0.2470),tensor(0.3121),tensor(0.2470),tensor(0.4386),[CLS] where does a king keep his armies ? in his sl ee vies . [SEP],267
439,a woman,her,-,tensor(0.1005),0,0,0,0,"[CLS] a woman walked into a bar and ordered a double en ten dre , so the bar man gave her one . [SEP]",268
440,horses,they,-,tensor(0.3975),0,0,0,0,[CLS] where do horses go when they are injured or hurt ? the horse pit al . [SEP],269
441,everyone,everyone,everyone else,tensor(0.5513),tensor(0.3909),tensor(0.5442),tensor(0.3909),tensor(0.5513),"[CLS] it a hot day , and everyone is on the beach . and it strange , because everyone has bought an ice - cream cone , and is feeding the sea - gu lls with it ; two gu lls to each person . so i went bought an ice - cream , and straight away the gu lls came down to steal it . so of course i chased them away , but they kept on coming , and then this old man wonders over in my direction . he got an ice - cream , and two gu lls eating it . and he says : "" you will never stop them , so do what everyone else is doing : relax , enjoy yourself , and let the gu lls have the ice - cream . . . . . "" "" why ? "" i asked . "" because , "" he said , "" that way you will be chilling two birds with one cone . "" ( "" killing two birds with one stone "" . . . of course ) [SEP]",270
442,an ice - cream cone,it,-,tensor(0.4683),0,0,0,0,"[CLS] it a hot day , and everyone is on the beach . and it strange , because everyone has bought an ice - cream cone , and is feeding the sea - gu lls with it ; two gu lls to each person . so i went bought an ice - cream , and straight away the gu lls came down to steal it . so of course i chased them away , but they kept on coming , and then this old man wonders over in my direction . he got an ice - cream , and two gu lls eating it . and he says : "" you will never stop them , so do what everyone else is doing : relax , enjoy yourself , and let the gu lls have the ice - cream . . . . . "" "" why ? "" i asked . "" because , "" he said , "" that way you will be chilling two birds with one cone . "" ( "" killing two birds with one stone "" . . . of course ) [SEP]",270
443,the sea - gu lls,them,the gu lls,tensor(0.2307),tensor(0.3511),tensor(0.6989),tensor(0.2307),tensor(0.6989),"[CLS] it a hot day , and everyone is on the beach . and it strange , because everyone has bought an ice - cream cone , and is feeding the sea - gu lls with it ; two gu lls to each person . so i went bought an ice - cream , and straight away the gu lls came down to steal it . so of course i chased them away , but they kept on coming , and then this old man wonders over in my direction . he got an ice - cream , and two gu lls eating it . and he says : "" you will never stop them , so do what everyone else is doing : relax , enjoy yourself , and let the gu lls have the ice - cream . . . . . "" "" why ? "" i asked . "" because , "" he said , "" that way you will be chilling two birds with one cone . "" ( "" killing two birds with one stone "" . . . of course ) [SEP]",270
444,an ice - cream,it,-,tensor(0.5784),0,0,0,0,"[CLS] it a hot day , and everyone is on the beach . and it strange , because everyone has bought an ice - cream cone , and is feeding the sea - gu lls with it ; two gu lls to each person . so i went bought an ice - cream , and straight away the gu lls came down to steal it . so of course i chased them away , but they kept on coming , and then this old man wonders over in my direction . he got an ice - cream , and two gu lls eating it . and he says : "" you will never stop them , so do what everyone else is doing : relax , enjoy yourself , and let the gu lls have the ice - cream . . . . . "" "" why ? "" i asked . "" because , "" he said , "" that way you will be chilling two birds with one cone . "" ( "" killing two birds with one stone "" . . . of course ) [SEP]",270
445,i,i,you,tensor(0.0485),tensor(0.0444),tensor(0.3016),tensor(0.0444),tensor(0.3016),"[CLS] it a hot day , and everyone is on the beach . and it strange , because everyone has bought an ice - cream cone , and is feeding the sea - gu lls with it ; two gu lls to each person . so i went bought an ice - cream , and straight away the gu lls came down to steal it . so of course i chased them away , but they kept on coming , and then this old man wonders over in my direction . he got an ice - cream , and two gu lls eating it . and he says : "" you will never stop them , so do what everyone else is doing : relax , enjoy yourself , and let the gu lls have the ice - cream . . . . . "" "" why ? "" i asked . "" because , "" he said , "" that way you will be chilling two birds with one cone . "" ( "" killing two birds with one stone "" . . . of course ) [SEP]",270
446,this old man,he,he,tensor(0.4111),tensor(0.5269),tensor(0.3040),tensor(0.3040),tensor(0.5269),"[CLS] it a hot day , and everyone is on the beach . and it strange , because everyone has bought an ice - cream cone , and is feeding the sea - gu lls with it ; two gu lls to each person . so i went bought an ice - cream , and straight away the gu lls came down to steal it . so of course i chased them away , but they kept on coming , and then this old man wonders over in my direction . he got an ice - cream , and two gu lls eating it . and he says : "" you will never stop them , so do what everyone else is doing : relax , enjoy yourself , and let the gu lls have the ice - cream . . . . . "" "" why ? "" i asked . "" because , "" he said , "" that way you will be chilling two birds with one cone . "" ( "" killing two birds with one stone "" . . . of course ) [SEP]",270
447,an ice - cream,it,the ice - cream,tensor(0.5219),tensor(0.4182),tensor(0.5725),tensor(0.4182),tensor(0.5725),"[CLS] it a hot day , and everyone is on the beach . and it strange , because everyone has bought an ice - cream cone , and is feeding the sea - gu lls with it ; two gu lls to each person . so i went bought an ice - cream , and straight away the gu lls came down to steal it . so of course i chased them away , but they kept on coming , and then this old man wonders over in my direction . he got an ice - cream , and two gu lls eating it . and he says : "" you will never stop them , so do what everyone else is doing : relax , enjoy yourself , and let the gu lls have the ice - cream . . . . . "" "" why ? "" i asked . "" because , "" he said , "" that way you will be chilling two birds with one cone . "" ( "" killing two birds with one stone "" . . . of course ) [SEP]",270
448,rene des car te,des car te,i,tensor(0.6543),tensor(0.3219),tensor(0.2809),tensor(0.2809),tensor(0.6543),"[CLS] rene des car te walks into a bar . bartender says : "" have a beer ? "" des car te says : "" i think . . . not . . . "" and disappears . [SEP]",271
449,the mouse,it,-,tensor(0.4214),0,0,0,0,[CLS] why did the mouse squeak ? because it needed oil ing . [SEP],272
450,pro,this,-,tensor(0.3002),0,0,0,0,"[CLS] i have heard that cardiovascular exercise can pro long life . is this true ? your heart is only good for so many beats , and that it . everything wears out eventually . speeding up your heart will not make you live longer ; that like saying you can extend the life of your car by driving it faster . want to live longer ? take a nap . [SEP]",275
451,your heart,it,-,tensor(0.5737),0,0,0,0,"[CLS] i have heard that cardiovascular exercise can pro long life . is this true ? your heart is only good for so many beats , and that it . everything wears out eventually . speeding up your heart will not make you live longer ; that like saying you can extend the life of your car by driving it faster . want to live longer ? take a nap . [SEP]",275
452,your car,it,-,tensor(0.2178),0,0,0,0,"[CLS] i have heard that cardiovascular exercise can pro long life . is this true ? your heart is only good for so many beats , and that it . everything wears out eventually . speeding up your heart will not make you live longer ; that like saying you can extend the life of your car by driving it faster . want to live longer ? take a nap . [SEP]",275
453,one,i,-,tensor(0.2878),0,0,0,0,"[CLS] two spiders were playing football in a sauce r . one says to the other : "" i am getting really bored with this . "" the other says : "" do not worry , we are playing in the cup next week . "" [SEP]",276
454,playing,this,-,tensor(0.3103),0,0,0,0,"[CLS] two spiders were playing football in a sauce r . one says to the other : "" i am getting really bored with this . "" the other says : "" do not worry , we are playing in the cup next week . "" [SEP]",276
455,the other,the other,-,tensor(0.7066),0,0,0,0,"[CLS] two spiders were playing football in a sauce r . one says to the other : "" i am getting really bored with this . "" the other says : "" do not worry , we are playing in the cup next week . "" [SEP]",276
456,two spiders,we,-,tensor(0.5869),0,0,0,0,"[CLS] two spiders were playing football in a sauce r . one says to the other : "" i am getting really bored with this . "" the other says : "" do not worry , we are playing in the cup next week . "" [SEP]",276
457,a mouse,it,-,tensor(0.1204),0,0,0,0,[CLS] why can not you milk a mouse ? because you can not get a bucket under it . [SEP],277
458,it,it,-,tensor(0.4601),0,0,0,0,"[CLS] inventions today : it reported that a new kind of pillow case has been invented , made out of cord uro uy . it making headlines . [SEP]",278
459,a wooden fence,the fence,the fence,tensor(0.5986),tensor(0.4126),tensor(0.3753),tensor(0.3753),tensor(0.5986),"[CLS] this guy is walking past a wooden fence . on the other side of the fence is an asylum . the inmates are all screaming at the tops of their lungs , "" thirteen ! thirteen ! thirteen ! ! "" the guy notices a small hole in the fence and his curiosity naturally gets the better of him . he takes a peek and a finger suddenly pops out and ja bs him in the eye . he yells in pain as the inmates start shouting , "" fourteen ! fourteen ! fourteen ! ! "" [SEP]",279
460,the inmates,their,the inmates,tensor(0.4125),tensor(0.4599),tensor(0.6282),tensor(0.4125),tensor(0.6282),"[CLS] this guy is walking past a wooden fence . on the other side of the fence is an asylum . the inmates are all screaming at the tops of their lungs , "" thirteen ! thirteen ! thirteen ! ! "" the guy notices a small hole in the fence and his curiosity naturally gets the better of him . he takes a peek and a finger suddenly pops out and ja bs him in the eye . he yells in pain as the inmates start shouting , "" fourteen ! fourteen ! fourteen ! ! "" [SEP]",279
